OrderID,CustomerID,CustomerName,Email,DateOfBirth,OrderDate,ProductCategory,Price,Quantity,PaymentMethod
ORD10129,CUST1129,Fatima Sato,fatima.sato@example.com,08-13-1959,30-Jun-2024,clothing ,52.99,5,UPI
ORD10006,CUST1006,Raj Kim,raj.kim@example.com,10/02/1959,2024-04-08,clothing ,42.98,2,Credit Card
ORD10351,CUST1001,Tom Chen,tom.chen@example.com,12-Oct-1957,22-Jun-2024,Beauty,59.33,4,Debit Card
ORD10335,CUST1335,Olga Garcia,olga.garcia@example.com,04/03/2002,02/08/2024,beauty products,79.25,4,PayPal
ORD10305,CUST1305,James Ivanov,james.ivanov@example.com,1999-10-27,27/02/2024,Sports,49.37,1,PayPal
ORD10340,CUST1340,Nina Ali,nina.ali@example.com,01-Oct-1970,09-09-2024,Clothing,33.09,2,UPI
ORD10306,CUST1306,Emma Garcia,emma.garcia@example.com,13/10/1987,17-Jul-2024,sports,53.52,1,Credit Card
ORD10262,CUST1262,Carlos Chen,carlos.chen@example.com,04-Oct-1979,26-Mar-2024,clothing ,48.21,1,PayPal
ORD10018,CUST1018,Mohammed Davis,mohammed.davis@example.com,19-Dec-1982,21/01/2025,home kitchen,59.43,5,Cash
ORD10214,CUST1214,David Rossi,david.rossi@example.com,15-Jan-1967,24-Nov-2024,ELECTRONICS,69.54,1,PayPal
ORD10243,CUST1243,Li Wilson,li.wilson@example.com,01-Feb-1978,10-08-2024,sports,65.15,3,Debit Card
ORD10476,CUST1126,Aisha Brown,aisha.brown@example.com,22-Sep-1970,2024-12-30,Book,42.53,5,PayPal
ORD10365,CUST1015,Yusuf Wilson,yusuf.wilson@example.com,16-Sep-1979,20/01/2024,Sports & Outdoors,70.7,4,Credit Card
ORD10428,CUST1078,Nina Silva,nina.silva@example.com,01/11/1996,01-03-2024,Clothing,70.58,3,UPI
ORD10234,CUST1234,Olga Ahmed,olga.ahmed@example.com,17/08/1991,12-Jun-2024,clothing ,30.45,5,Cash
ORD10120,CUST1120,Sara Garcia,sara.garcia@example.com,1970-08-27,03-07-2024,Electronics,72.56,3,Debit Card
ORD10290,CUST1290,Nina Silva,nina.silva@example.com,01-Mar-1967,2024-09-20,Clothing,31.32,2,Debit Card
ORD10166,CUST1166,John Kumar,john.kumar@example.com,1976-08-19,02-04-2024,Beauty ,62.38,3,Debit Card
ORD10410,CUST1060,Fatima Wilson,fatima.wilson@example.com,17-Mar-1964,2025-01-16,books,65.43,5,Credit Card
ORD10188,CUST1188,Maria Chen,maria.chen@example.com,07-Mar-1969,2024-12-18,books,47.82,2,PayPal
ORD10459,CUST1109,Anna Müller,anna.müller@example.com,31-Aug-1975,2024-07-04,Clothes,33.39,4,Cash
ORD10030,CUST1030,Emma Silva,emma.silva@example.com,05-31-1976,04-14-2024,Home and Kitchen,41.25,3,Cash
ORD10404,CUST1054,Kenji Kim,kenji.kim@example.com,06-Apr-1971,04-Sep-2024,home kitchen,51.41,2,Cash
ORD10477,CUST1127,Mohammed Patel,mohammed.patel@example.com,1970-03-16,02/11/2024,home kitchen,67.3,1,Debit Card
ORD10209,CUST1209,Carlos Khan,carlos.khan@example.com,1976-10-01,11/11/2024,Sports,65.45,2,Credit Card
ORD10447,CUST1097,Carlos Kim,carlos.kim@example.com,19-May-1983,10-17-2024,Beauty,1220.0,2,Cash
ORD10161,CUST1161,Carlos Patel,carlos.patel@example.com,14-Jun-1967,26-May-2024,Book,20.76,1,Credit Card
ORD10108,CUST1108,Mohammed Hassan,mohammed.hassan@example.com,1963-09-19,08/05/2024,clothing ,55.24,1,UPI
ORD10464,CUST1114,Yusuf Kim,yusuf.kim@example.com,06-Dec-1988,05/02/2024,Sports & Outdoors,56.42,2,UPI
ORD10346,CUST1346,Nina Khan,nina.khan@example.com,1984-09-16,11/09/2024,Electronic,56.96,3,Debit Card
ORD10485,CUST1135,Tom Müller,tom.müller@example.com,19/09/1986,08-31-2024,Beauty ,27.31,2,
ORD10301,CUST1301,Wei Ahmed,wei.ahmed@example.com,21-Sep-1969,2024-10-15,home kitchen,25.13,2,Cash
ORD10478,CUST1128,Wei Silva,wei.silva@example.com,06-Sep-1986,03-Feb-2025,Home and Kitchen,59.34,5,Credit Card
ORD10345,CUST1345,Anna Smith,anna.smith@example.com,2005-11-29,25-Dec-2024,Beauty,35.87,5,Debit Card
ORD10456,CUST1106,Nina Davis,nina.davis@example.com,16-Oct-1988,18/10/2024,home kitchen,26.21,1,UPI
ORD10291,CUST1291,Li Garcia,li.garcia@example.com,,12-30-2024,sports,43.76,3,Cash
ORD10219,CUST1219,David Müller,david.müller@example.com,07-14-1965,07-26-2024,home kitchen,35.44,2,Debit Card
ORD10294,CUST1294,Kenji Ali,kenji.ali@example.com,12-19-1983,09-10-2024,Clothes,75.49,2,UPI
ORD10331,CUST1331,Nina Silva,nina.silva@example.com,13/10/1960,2024-02-08,Book,49.63,1,PayPal
ORD10259,CUST1259,Carlos Chen,carlos.chen@example.com,08-Apr-1995,05-Apr-2024,Books,63.31,3,UPI
ORD10393,CUST1043,Priya Ivanov,priya.ivanov@example.com,,11-23-2024,Clothing,10.39,1,Credit Card
ORD10007,CUST1007,Olga Silva,olga.silva@example.com,08-04-1969,08-20-2024,home kitchen,97.38,3,Credit Card
ORD10433,CUST1083,Li Patel,li.patel@example.com,1989-03-19,12-15-2024,Home and Kitchen,41.92,3,Credit Card
ORD10012,CUST1012,Fatima Garcia,fatima.garcia@example.com,1992-11-15,17/11/2024,Home and Kitchen,36.03,4,UPI
ORD10431,CUST1081,Raj Wang,raj.wang@example.com,09-13-1984,04-19-2024,clothing ,14.5,5,UPI
ORD10093,CUST1093,Sara Sato,sara.sato@example.com,12-Nov-1976,04-Sep-2024,beauty products,28.94,2,UPI
ORD10226,CUST1226,David Sato,david.sato@example.com,09-17-1992,02/04/2024,Home and Kitchen,82.67,4,Cash
ORD10413,CUST1063,Emma Kumar,emma.kumar@example.com,02-19-2004,11-20-2024,Books,5.0,2,Cash
ORD10330,CUST1330,John Patel,john.patel@example.com,23/09/1966,03/02/2025,Home and Kitchen,68.85,1,UPI
ORD10311,CUST1311,Maria Hassan,maria.hassan@example.com,30/09/1982,2024-11-07,Books,43.47,2,Credit Card
ORD10043,CUST1043,Fatima Hassan,,,08-10-2024,Sports,46.53,5,Debit Card
ORD10059,CUST1059,Nina Smith,nina.smith@example.com,05-Mar-1967,12-Feb-2024,Beauty,,4,PayPal
ORD10389,CUST1039,John Smith,john.smith@example.com,04-20-1975,16/11/2024,clothing ,78.51,4,UPI
ORD10079,CUST1079,Yusuf Wang,yusuf.wang@example.com,02-Jun-1995,01-Feb-2025,clothing ,52.75,4,PayPal
ORD10415,CUST1065,Maria Ali,maria.ali@example.com,01-Sep-1964,01-01-2025,Clothing,59.97,5,Credit Card
ORD10180,CUST1180,Aisha Wang,aisha.wang@example.com,17/06/1967,03/03/2024,sports,131.61,5,UPI
ORD10430,CUST1080,Li Müller,li.müller@example.com,26/04/2000,2024-09-23,books,5.0,4,Credit Card
ORD10102,CUST1102,Raj Kumar,raj.kumar@example.com,27-Nov-1976,08/08/2024,Beauty ,37.38,2,Debit Card
ORD10165,CUST1165,Aisha Kumar,aisha.kumar@example.com,,2024-02-04,Clothing,78.9,3,PayPal
ORD10248,CUST1248,Fatima Khan,,14/08/1976,25/09/2024,Sports,30.4,3,
ORD10434,CUST1084,Aisha Kumar,aisha.kumar@example.com,1998-09-03,20-Sep-2024,clothing ,71.53,2,PayPal
ORD10160,CUST1160,Li Ivanov,li.ivanov@example.com,1975-02-22,02-11-2024,Clothes,69.7,3,Debit Card
ORD10401,CUST1051,Fatima Khan,,13/11/1955,2025-01-23,Beauty,,4,UPI
ORD10373,CUST1023,John Ivanov,john.ivanov@example.com,24/03/1974,26/01/2024,Electronic,93.53,3,Cash
ORD10343,CUST1343,Olga Kim,olga.kim@example.com,01-27-1982,02-21-2024,Sports & Outdoors,57.35,4,Cash
ORD10019,CUST1019,Fatima Wang,fatima.wang@example.com,1985-05-01,2024-04-25,Beauty ,22.76,5,Debit Card
ORD10041,CUST1041,John Ali,john.ali@example.com,1979-12-30,07-23-2024,ELECTRONICS,72.15,5,Cash
ORD10269,CUST1269,Olga Chen,olga.chen@example.com,16-Dec-1990,17-Aug-2024,beauty products,36.8,3,UPI
ORD10198,CUST1198,Aisha Rossi,aisha.rossi@example.com,06-03-1984,17/03/2024,Beauty,54.61,5,PayPal
ORD10463,CUST1113,Anna Wang,anna.wang@example.com,04-26-1971,29/07/2024,Beauty,29.01,3,Cash
ORD10042,CUST1042,Tom Johnson,tom.johnson@example.com,08/06/1978,2024-01-15,Beauty ,55.14,3,Credit Card
ORD10202,CUST1202,Nina Khan,nina.khan@example.com,07-26-1994,2024-04-07,books,66.82,2,Cash
ORD10292,CUST1292,Olga Rossi,olga.rossi@example.com,02-21-1991,2024-02-08,home kitchen,35.21,4,PayPal
ORD10327,CUST1327,Maria Brown,maria.brown@example.com,1965-10-04,08-25-2024,Beauty,,3,UPI
ORD10296,CUST1296,Maria Smith,maria.smith@example.com,11-01-1966,07/08/2024,Beauty,29.21,3,Credit Card
ORD10181,CUST1181,Raj Rossi,raj.rossi@example.com,1962-09-26,09/10/2024,clothing ,68.77,4,UPI
ORD10174,CUST1174,Olga Kumar,olga.kumar@example.com,17/10/1957,19/09/2024,Book,60.23,1,Debit Card
ORD10081,CUST1081,Anna Davis,anna.davis@example.com,29-Mar-1955,08/02/2024,Book,43.41,4,PayPal
ORD10047,CUST1047,David Ali,david.ali@example.com,18-Sep-1996,08-08-2024,Book,36.18,5,Cash
ORD10247,CUST1247,John Ahmed,john.ahmed@example.com,01-24-2003,01-04-2025,Electronics,35.75,4,Debit Card
ORD10094,CUST1094,Aisha Garcia,aisha.garcia@example.com,03-23-1992,02-05-2024,Sports,40.17,1,PayPal
ORD10493,CUST1143,Raj Ivanov,raj.ivanov@example.com,20/02/1971,23-May-2024,Beauty ,52.32,1,PayPal
ORD10082,CUST1082,Priya Wang,priya.wang@example.com,1995-09-25,05-27-2024,Electronic,60.71,5,Debit Card
ORD10307,CUST1307,Nina Chen,,1974-05-10,01-08-2024,Clothing,88.33,4,UPI
ORD10239,CUST1239,Mohammed Khan,mohammed.khan@example.com,06/10/1976,17-Jan-2025,Home and Kitchen,30.15,5,PayPal
ORD10465,CUST1115,Aisha Sato,aisha.sato@example.com,01-Dec-1970,2024-03-17,Clothing,46.63,5,UPI
ORD10342,CUST1342,Emma Patel,emma.patel@example.com,,12/01/2024,Sports,57.31,1,PayPal
ORD10384,CUST1034,Yusuf Chen,yusuf.chen@example.com,1999-11-25,29/08/2024,Home and Kitchen,34.23,4,Credit Card
ORD10464,CUST1114,Yusuf Kim,yusuf.kim@example.com,06-Dec-1988,05/02/2024,Sports & Outdoors,56.42,2,UPI
ORD10140,CUST1140,Emma Müller,emma.müller@example.com,1987-06-19,12-Nov-2024,books,13.07,2,Cash
ORD10107,CUST1107,John Kim,john.kim@example.com,07-25-1999,2024-12-17,Electronic,106.59,3,Debit Card
ORD10348,CUST1348,Fatima Smith,fatima.smith@example.com,25-Apr-1994,25-Jan-2024,Beauty,7.78,4,Cash
ORD10293,CUST1293,Nina Smith,nina.smith@example.com,02-17-1996,2025-01-31,Home & Kitchen,32.32,4,Debit Card
ORD10208,CUST1208,Maria Silva,maria.silva@example.com,13/03/1974,17-Jan-2025,beauty products,65.41,5,PayPal
ORD10323,CUST1323,Li Ahmed,li.ahmed@example.com,1996-02-17,07-30-2024,Beauty ,25.45,2,Cash
ORD10390,CUST1040,Nina Brown,nina.brown@example.com,02-07-1959,2024-03-26,clothing ,32.69,5,UPI
ORD10096,CUST1096,Tom Ivanov,tom.ivanov@example.com,04/12/1971,08-21-2024,Beauty ,6.09,4,Credit Card
ORD10123,CUST1123,Aisha Brown,aisha.brown@example.com,16-Jun-1960,2024-08-22,Home and Kitchen,92.08,1,Cash
ORD10163,CUST1163,Kenji Hassan,,11-Dec-1964,2024-08-22,beauty products,84.76,5,UPI
ORD10024,CUST1024,Kenji Müller,kenji.müller@example.com,1977-05-30,22-May-2024,Book,7.26,5,Credit Card
ORD10014,CUST1014,Maria Smith,maria.smith@example.com,29/11/1999,01-04-2025,Sports,5.0,3,UPI
ORD10062,CUST1062,John Hassan,john.hassan@example.com,29-Apr-1966,19/03/2024,Books,44.43,2,Cash
ORD10424,CUST1074,Tom Wang,tom.wang@example.com,04-25-1976,15-Jan-2025,Clothing,79.15,4,Cash
ORD10040,CUST1040,Priya Wilson,priya.wilson@example.com,04-18-1996,23/04/2024,clothing ,55.91,2,Debit Card
ORD10369,CUST1019,Aisha Kumar,aisha.kumar@example.com,11-20-1960,29/01/2024,Sports,52.93,5,UPI
ORD10237,CUST1237,Wei Davis,wei.davis@example.com,08-16-1959,05/01/2025,Home and Kitchen,5.0,5,Credit Card
ORD10376,CUST1026,David Ahmed,david.ahmed@example.com,1964-03-06,15-Nov-2024,Sports,26.98,3,UPI
ORD10398,CUST1048,Emma Wang,emma.wang@example.com,1962-12-26,2024-01-02,Beauty ,90.62,2,Credit Card
ORD10099,CUST1099,Wei Wilson,wei.wilson@example.com,16-May-1985,02-04-2025,Home & Kitchen,50.15,5,Cash
ORD10257,CUST1257,David Wang,david.wang@example.com,05-12-1962,2024-12-31,Sports & Outdoors,88.01,2,Cash
ORD10251,CUST1251,James Sato,james.sato@example.com,2005-10-06,11-26-2024,Sports,12.17,2,Debit Card
ORD10383,CUST1033,Emma Kumar,emma.kumar@example.com,1996-08-09,05-13-2024,sports,5.0,5,UPI
ORD10400,CUST1050,Maria Patel,maria.patel@example.com,07-16-1958,21/02/2024,home kitchen,87.13,3,Cash
ORD10381,CUST1031,Aisha Brown,aisha.brown@example.com,1981-05-10,28/03/2024,sports,24.81,3,UPI
ORD10315,CUST1315,Fatima Kim,fatima.kim@example.com,1975-06-29,2024-12-11,Clothing,89.16,1,Debit Card
ORD10468,CUST1118,Kenji Garcia,kenji.garcia@example.com,1975-11-10,10-May-2024,clothing ,72.73,5,Cash
ORD10128,CUST1128,Kenji Khan,kenji.khan@example.com,1966-09-03,01-16-2025,Beauty ,33.01,5,PayPal
ORD10083,CUST1083,Kenji Khan,,,05/10/2024,Sports & Outdoors,94.34,2,PayPal
ORD10484,CUST1134,Aisha Davis,aisha.davis@example.com,04-09-1977,01-05-2024,Home & Kitchen,56.1,3,Credit Card
ORD10186,CUST1186,Nina Garcia,nina.garcia@example.com,2005-07-25,03-28-2024,Electronics,71.42,5,PayPal
ORD10028,CUST1028,Aisha Ahmed,,2000-07-23,2024-03-21,Beauty,61.27,1,Debit Card
ORD10090,CUST1090,Aisha Kumar,aisha.kumar@example.com,1994-08-28,14-Nov-2024,electronics,65.4,2,PayPal
ORD10397,CUST1047,Mohammed Kumar,mohammed.kumar@example.com,01/07/1981,26-Dec-2024,Clothing,5.0,2,Cash
ORD10074,CUST1074,Mohammed Wilson,mohammed.wilson@example.com,08/01/1964,05-21-2024,clothing ,96.94,2,PayPal
ORD10250,CUST1250,Wei Ivanov,wei.ivanov@example.com,01-Aug-2004,13-Jul-2024,Clothing,,2,Credit Card
ORD10172,CUST1172,David Johnson,david.johnson@example.com,06-02-1984,2024-02-22,clothing ,25.53,4,Debit Card
ORD10162,CUST1162,Sara Ali,sara.ali@example.com,12-22-1964,17-Mar-2024,Electronic,73.61,1,Debit Card
ORD10070,CUST1070,Wei Wang,wei.wang@example.com,31/10/1998,03-Jan-2025,sports,30.65,4,Cash
ORD10295,CUST1295,James Johnson,james.johnson@example.com,1959-02-14,2024-12-15,Book,60.71,2,Cash
ORD10092,CUST1092,Wei Wang,wei.wang@example.com,16/07/1965,28-Feb-2024,sports,79.06,3,UPI
ORD10379,CUST1029,Olga Johnson,olga.johnson@example.com,14-Apr-1957,14/12/2024,clothing ,115.69,4,Cash
ORD10363,CUST1013,Aisha Rossi,,04-Feb-1965,07-Jan-2024,Sports & Outdoors,46.74,5,UPI
ORD10387,CUST1037,Nina Müller,nina.müller@example.com,11-Aug-1966,2024-09-07,books,,4,Cash
ORD10126,CUST1126,Mohammed Sato,mohammed.sato@example.com,02-15-1992,19/08/2024,Book,115.71,1,PayPal
ORD10246,CUST1246,Priya Hassan,priya.hassan@example.com,1998-10-08,22-Nov-2024,Electronics,39.96,4,Credit Card
ORD10275,CUST1275,Emma Chen,emma.chen@example.com,1965-04-29,2024-06-02,Clothes,20.55,2,Debit Card
ORD10060,CUST1060,Mohammed Rossi,mohammed.rossi@example.com,01-05-1989,06-16-2024,books,79.27,1,Cash
ORD10121,CUST1121,Nina Johnson,nina.johnson@example.com,1978-10-22,09/01/2024,Sports & Outdoors,73.73,5,Credit Card
ORD10013,CUST1013,Sara Davis,sara.davis@example.com,03-05-2003,2024-01-06,Clothes,57.26,4,Debit Card
ORD10395,CUST1045,David Sato,david.sato@example.com,09-05-2001,2024-12-04,Sports & Outdoors,85.38,1,UPI
ORD10268,CUST1268,David Chen,,06-27-1967,28-Jul-2024,Electronic,7.1,2,Cash
ORD10483,CUST1133,James Khan,james.khan@example.com,01/05/1989,2024-05-12,Electronic,5.0,4,PayPal
ORD10343,CUST1343,Olga Kim,olga.kim@example.com,01-27-1982,02-21-2024,Sports & Outdoors,57.35,4,Cash
ORD10311,CUST1311,Maria Hassan,maria.hassan@example.com,30/09/1982,2024-11-07,Books,43.47,2,Credit Card
ORD10158,CUST1158,Raj Davis,raj.davis@example.com,1980-07-28,2024-02-22,Beauty,64.21,5,Debit Card
ORD10344,CUST1344,Emma Müller,emma.müller@example.com,11/01/1975,12-28-2024,Home and Kitchen,34.79,3,Debit Card
ORD10187,CUST1187,Mohammed Kim,mohammed.kim@example.com,09-06-1999,2024-08-01,clothing ,64.2,4,
ORD10271,CUST1271,Kenji Khan,kenji.khan@example.com,19/03/1978,2024-01-06,Sports,93.24,5,UPI
ORD10274,CUST1274,David Johnson,david.johnson@example.com,01-Oct-2001,21/08/2024,home kitchen,50.31,4,Cash
ORD10416,CUST1066,Maria Rossi,maria.rossi@example.com,1999-10-02,03/12/2024,Sports,27.55,5,Cash
ORD10215,CUST1215,Anna Rossi,anna.rossi@example.com,1971-09-15,11-27-2024,Clothes,40.54,5,Debit Card
ORD10460,CUST1110,James Ali,james.ali@example.com,1991-11-12,29/10/2024,Electronic,14.06,5,UPI
ORD10350,CUST1000,John Johnson,john.johnson@example.com,08-28-1961,2024-05-13,Beauty,43.6,2,Credit Card
ORD10496,CUST1146,Olga Khan,olga.khan@example.com,21/05/1960,19/12/2024,ELECTRONICS,66.17,1,Cash
ORD10089,CUST1089,Sara Johnson,sara.johnson@example.com,2001-03-02,29-Feb-2024,beauty products,34.11,1,Debit Card
ORD10325,CUST1325,Emma Johnson,emma.johnson@example.com,1975-12-16,08-19-2024,electronics,,5,Credit Card
ORD10132,CUST1132,Emma Kumar,emma.kumar@example.com,08-Nov-1967,04/01/2024,Home & Kitchen,52.06,1,Credit Card
ORD10125,CUST1125,Emma Ivanov,emma.ivanov@example.com,15-Sep-1995,11-01-2024,Books,67.61,1,UPI
ORD10175,CUST1175,Raj Kumar,raj.kumar@example.com,06-Oct-1968,2024-07-15,home kitchen,58.3,1,UPI
ORD10319,CUST1319,Wei Davis,wei.davis@example.com,05/02/1988,2024-08-21,clothing ,59.72,3,UPI
ORD10192,CUST1192,Anna Wilson,anna.wilson@example.com,09-30-1999,20-Sep-2024,sports,75.69,4,UPI
ORD10015,CUST1015,Yusuf Ali,yusuf.ali@example.com,1969-06-29,03-19-2024,Clothes,5.0,1,PayPal
ORD10462,CUST1112,Olga Hassan,olga.hassan@example.com,1980-06-06,2024-10-15,electronics,51.06,4,Cash
ORD10452,CUST1102,Olga Kumar,olga.kumar@example.com,06/06/1976,2024-09-14,Sports,78.65,2,Debit Card
ORD10124,CUST1124,Maria Chen,maria.chen@example.com,1968-04-22,02-11-2024,Sports & Outdoors,7.94,5,UPI
ORD10139,CUST1139,John Rossi,john.rossi@example.com,06-Jul-1993,02-09-2024,books,74.41,4,Credit Card
ORD10112,CUST1112,Tom Khan,tom.khan@example.com,09-Jul-1978,08-20-2024,home kitchen,49.2,2,
ORD10052,CUST1052,Yusuf Johnson,yusuf.johnson@example.com,14-Apr-2000,21-Jan-2025,beauty products,38.45,2,Cash
ORD10361,CUST1011,Mohammed Garcia,mohammed.garcia@example.com,11-Jan-1962,22-Jan-2024,electronics,65.58,2,UPI
ORD10113,CUST1113,John Hassan,john.hassan@example.com,1974-11-10,10-14-2024,Book,51.81,3,Cash
ORD10010,CUST1010,Mohammed Wilson,mohammed.wilson@example.com,10-26-1967,21-Jul-2024,Sports & Outdoors,66.28,5,UPI
ORD10020,CUST1020,John Chen,john.chen@example.com,1975-07-16,2024-12-28,Clothing,7.63,1,UPI
ORD10017,CUST1017,Carlos Garcia,carlos.garcia@example.com,28/04/2004,03-Dec-2024,ELECTRONICS,19.62,5,Cash
ORD10273,CUST1273,John Wilson,john.wilson@example.com,1992-04-26,02-23-2024,Books,84.89,2,PayPal
ORD10001,CUST1001,Fatima Smith,fatima.smith@example.com,20/12/1976,01-14-2025,Sports & Outdoors,64.9,5,Credit Card
