TransactionID,CustomerID,CustomerName,DateOfBirth,Gender,Country,ProductCategory,PurchaseDate,Quantity,UnitPrice,TotalAmount,PaymentMethod,CustomerFeedback,FeedbackSentiment,CustomerAge,AgeGroup
TXN10393,CUST1393,Priya Nguyen,,Female,Germany,Sports,2025-04-23,5,225.2,1126.0,PayPal,value for money,Positive,43,35-44
TXN10550,CUST1550,Grace Wilson,1985-09-08,Unknown,India,Electronics,2025-01-16,2,68.71,137.42,UPI,average product,Neutral,39,35-44
TXN10632,CUST1632,Ananya Khan,1958-04-26,Male,India,Books,2025-01-03,5,496.0,2480.0,Credit Card,No feedback provided,No Feedback,66,60+
TXN10122,CUST1122,David Chen,2002-03-28,Female,India,Toys,2024-11-12,5,191.48,957.4,Debit Card,packaging could be better,Neutral,22,18-24
TXN10637,CUST1637,Wei Fernandes,1991-12-20,Unknown,United States,Beauty,2025-03-30,4,111.32,445.28,PayPal,worst purchase ever,Negative,33,25-34
TXN10058,CUST1058,Carlos Kumar,1979-10-22,Unknown,United Kingdom,Sports,2024-05-24,2,151.64,303.28,UPI,"Great product, fast delivery!!",Positive,45,45-59
TXN10718,CUST1718,Fatima Brown,1976-12-21,Female,United Kingdom,Clothing,2024-06-04,5,226.89,1134.45,UPI,5 stars,Positive,48,45-59
TXN10084,CUST1084,Rahul Silva,1955-09-23,Unknown,Canada,Toys,2025-01-16,5,373.86,1869.3,UPI,Bad experience,Negative,69,60+
TXN10840,CUST1840,Sara Kumar,2003-11-14,Female,United Kingdom,Sports,2024-10-24,3,426.59,1279.77,PayPal,ok,Neutral,21,18-24
TXN10059,CUST1059,Olivia Garcia,1979-08-11,Male,United Kingdom,Home & Kitchen,2024-12-23,4,55.78,223.12,UPI,5 stars,Positive,45,45-59
TXN10940,CUST1940,Yusuf Garcia,2003-03-26,Unknown,India,Books,2024-10-26,5,133.84,669.2,Cash on Delivery,Delivery was late,Negative,21,18-24
TXN10783,CUST1783,Sofia Kumar,1960-07-03,Female,Canada,Electronics,2024-06-04,3,184.97,554.91,Cash on Delivery,Bad experience,Negative,64,60+
TXN10558,CUST1558,Olivia Fernandes,1981-01-26,Female,Germany,Electronics,2025-04-03,3,93.75,281.25,PayPal,Delivery was late,Negative,43,35-44
TXN10629,CUST1629,Amit Johnson,1983-03-30,Unknown,United States,Beauty,2024-02-01,1,331.79,331.79,Credit Card,No feedback provided,No Feedback,41,35-44
TXN10571,CUST1571,David Johnson,1969-12-13,Male,India,Beauty,2024-04-13,1,420.99,420.99,UPI,Loved it!,Positive,55,45-59
TXN10779,CUST1779,Noah Fernandes,1955-09-21,Female,India,Home & Kitchen,2024-09-05,4,127.63,510.52,PayPal,value for money,Positive,69,60+
TXN10555,CUST1555,Olivia Smith,1963-11-08,Male,Germany,Books,2024-08-31,5,96.64,483.2,Credit Card,value for money,Positive,61,60+
TXN10614,CUST1614,John Brown,1957-05-28,Female,Canada,Clothing,2024-11-28,4,421.83,1687.32,PayPal,Good,Positive,67,60+
TXN10191,CUST1191,Wei Brown,1984-08-05,Female,United Kingdom,Toys,2024-05-05,5,329.03,1645.15,UPI,5 stars,Positive,40,35-44
TXN10100,CUST1100,Ken Ali,1992-04-27,Male,India,Home & Kitchen,2024-12-06,3,477.03,1431.09,PayPal,"Excellent service, will buy again",Positive,32,25-34
TXN10826,CUST1826,Mia Wilson,1983-02-20,Male,Canada,Beauty,2024-09-16,3,439.32,1317.96,Credit Card,not happy with quality,Negative,41,35-44
TXN10228,CUST1228,Wei Garcia,1977-05-26,Female,India,Toys,2024-05-06,4,75.37,301.48,Cash on Delivery,worst purchase ever,Negative,47,45-59
TXN10239,CUST1239,Rahul Lee,1976-08-17,Female,United Kingdom,Electronics,2024-09-27,3,467.29,1401.87,Cash on Delivery,No feedback provided,No Feedback,48,45-59
TXN10943,CUST1943,David Ali,1992-11-21,Female,India,Books,2024-10-12,3,63.92,191.76,Cash on Delivery,Delivery was late,Negative,32,25-34
TXN10776,CUST1776,Fatima Garcia,1986-09-26,Male,India,Toys,2024-12-29,1,98.84,98.84,Cash on Delivery,Highly recommend to everyone,Positive,38,35-44
TXN10459,CUST1459,Ken Fernandes,1960-01-10,Male,United Kingdom,Books,2024-12-13,5,270.26,1351.3,Cash on Delivery,No feedback provided,No Feedback,64,60+
TXN10264,CUST1264,Grace Kim,1957-08-18,Male,Germany,Beauty,2024-09-28,5,499.8,2499.0,Credit Card,Bad experience,Negative,67,60+
TXN10181,CUST1181,Sofia Singh,1956-05-27,Female,United States,Electronics,2024-10-31,4,300.9,1203.6,Credit Card,Bad experience,Negative,68,60+
TXN10572,CUST1572,Priya Rao,1991-01-25,Male,Canada,Electronics,2025-01-02,1,297.97,297.97,PayPal,5 stars,Positive,33,25-34
TXN10811,CUST1811,Wei Ali,1957-05-13,Male,United States,Books,2024-02-24,1,241.03,241.03,Debit Card,"Great product, fast delivery!!",Positive,67,60+
TXN10788,CUST1788,Wei Sharma,1966-06-20,Female,United Kingdom,Books,2024-05-09,3,447.98,1343.94,Credit Card,Highly recommend to everyone,Positive,58,45-59
TXN10684,CUST1684,Emma Brown,1995-07-23,Female,United States,Home & Kitchen,2024-08-05,5,82.82,414.1,UPI,ok,Neutral,29,25-34
TXN10447,CUST1447,Wei Patel,1959-08-09,Male,India,Books,2025-01-28,3,315.09,945.27,Debit Card,Good,Positive,65,60+
TXN10444,CUST1444,Wei Das,1995-07-11,Female,United Kingdom,Electronics,2024-04-02,5,71.98,359.9,PayPal,"Great product, fast delivery!!",Positive,29,25-34
TXN10478,CUST1478,Yusuf Ali,1983-07-17,Female,India,Beauty,2024-10-06,2,240.06,480.12,Cash on Delivery,No feedback provided,No Feedback,41,35-44
TXN10764,CUST1764,Liam Singh,1963-11-21,Female,India,Toys,2024-07-18,3,404.01,1212.03,PayPal,ok,Neutral,61,60+
TXN10446,CUST1446,David Ali,2000-11-26,Female,India,Sports,2024-07-13,2,456.57,913.14,Debit Card,value for money,Positive,24,18-24
TXN10066,CUST1066,Sara Das,1982-04-13,Male,United Kingdom,Sports,2024-09-09,1,301.03,301.03,Cash on Delivery,Loved it!,Positive,42,35-44
TXN10455,CUST1455,David Kumar,1999-03-09,Male,United States,Books,2024-05-28,1,63.51,63.51,Credit Card,Good,Positive,25,25-34
TXN10217,CUST1217,Fatima Fernandes,1990-06-28,Female,United Kingdom,Clothing,2024-08-18,4,197.47,789.88,UPI,Loved it!,Positive,34,25-34
TXN10634,CUST1634,David Lee,1960-05-18,Male,Unknown,Sports,2024-06-30,1,379.5,379.5,PayPal,average product,Neutral,64,60+
TXN10862,CUST1862,Ananya Garcia,1991-02-20,Male,Unknown,Electronics,2024-06-21,1,237.6,237.6,Cash on Delivery,average product,Neutral,33,25-34
TXN10792,CUST1792,Ananya Kim,1981-08-03,Male,United States,Clothing,2024-04-24,5,122.92,614.6,Debit Card,Loved it!,Positive,43,35-44
TXN10809,CUST1809,Amit Kim,1987-06-14,Female,Germany,Electronics,2024-07-04,4,479.02,1916.08,Credit Card,No feedback provided,No Feedback,37,35-44
TXN10847,CUST1847,John Garcia,1995-09-15,Female,United States,Books,2025-04-04,3,100.95,302.85,Cash on Delivery,Loved it!,Positive,29,25-34
TXN10791,CUST1791,Carlos Patel,1955-04-28,Male,United States,Sports,2024-12-22,5,230.44,1152.2,PayPal,Loved it!,Positive,69,60+
TXN10675,CUST1675,Fatima Lee,1995-10-04,Female,United States,Electronics,2024-11-23,2,235.94,471.88,PayPal,No feedback provided,No Feedback,29,25-34
TXN10267,CUST1267,Olivia Rao,1970-10-01,Male,United States,Electronics,2024-04-29,2,14.86,29.72,Cash on Delivery,Good,Positive,54,45-59
TXN10899,CUST1899,Zara Rao,1980-12-19,Male,United Kingdom,Home & Kitchen,2024-12-07,4,195.98,783.92,PayPal,Highly recommend to everyone,Positive,44,35-44
TXN10331,CUST1331,Ananya Brown,2003-07-21,Male,Germany,Beauty,2024-02-22,5,433.1,2165.5,PayPal,worst purchase ever,Negative,21,18-24
TXN10074,CUST1074,Amit Silva,1992-03-23,Unknown,United Kingdom,Home & Kitchen,2025-02-24,3,364.4,1093.2,PayPal,Item damaged on arrival :(,Negative,32,25-34
TXN10158,CUST1158,Grace Rao,1985-03-06,Unknown,United Kingdom,Sports,2024-09-07,3,240.07,720.21,Cash on Delivery,Delivery was late,Negative,39,35-44
TXN10288,CUST1288,Zara Lee,1975-06-14,Male,Canada,Beauty,2025-01-31,3,365.76,1097.28,Credit Card,Good,Positive,49,45-59
TXN10457,CUST1457,Ananya Rao,2000-06-16,Male,Unknown,Electronics,2024-02-28,3,201.04,603.12,Credit Card,value for money,Positive,24,18-24
TXN10990,CUST1990,Noah Johnson,1970-03-07,Female,India,Sports,2024-01-08,4,419.67,1678.68,Credit Card,Good,Positive,54,45-59
TXN10926,CUST1926,Yusuf Brown,1957-06-15,Female,Germany,Sports,2024-08-10,1,404.66,404.66,UPI,ok,Neutral,67,60+
TXN10240,CUST1240,Olivia Patel,1997-04-04,Male,United Kingdom,Electronics,2024-01-08,2,24.71,49.42,Cash on Delivery,No feedback provided,No Feedback,27,25-34
TXN10754,CUST1754,Olivia Wilson,1998-10-31,Male,Germany,Sports,2024-10-02,2,483.01,966.02,Debit Card,value for money,Positive,26,25-34
TXN10392,CUST1392,Grace Garcia,1962-07-25,Male,United States,Clothing,2025-01-12,4,315.11,1260.44,Debit Card,"Great product, fast delivery!!",Positive,62,60+
TXN10361,CUST1361,Carlos Das,1997-04-17,Female,United States,Toys,2024-07-29,2,398.33,796.66,Debit Card,No feedback provided,No Feedback,27,25-34
TXN10082,CUST1082,Liam Das,1977-11-27,Unknown,United Kingdom,Home & Kitchen,2024-12-12,2,41.56,83.12,UPI,Highly recommend to everyone,Positive,47,45-59
TXN10200,CUST1200,Noah Ali,1967-07-22,Male,Canada,Home & Kitchen,2024-01-28,4,119.91,479.64,Cash on Delivery,No feedback provided,No Feedback,57,45-59
TXN10198,CUST1198,David Sharma,1975-08-12,Unknown,Canada,Sports,2024-08-31,1,462.46,462.46,UPI,ok,Neutral,49,45-59
TXN10885,CUST1885,Ken Reddy,1986-02-17,Male,United States,Beauty,2025-04-19,4,342.06,1368.24,UPI,ok,Neutral,38,35-44
TXN10086,CUST1086,Priya Reddy,1987-09-25,Male,India,Home & Kitchen,2025-01-17,2,104.39,208.78,Cash on Delivery,No feedback provided,No Feedback,37,35-44
TXN10692,CUST1692,Zara Nguyen,,Female,India,Books,2025-01-20,5,153.32,766.6,Credit Card,Item damaged on arrival :(,Negative,43,35-44
TXN10302,CUST1302,Noah Patel,1962-04-02,Male,Canada,Clothing,2024-06-09,1,228.77,228.77,Debit Card,value for money,Positive,62,60+
TXN10600,CUST1600,Mia Khan,1973-04-11,Female,Germany,Clothing,2025-01-18,3,283.81,851.43,UPI,"Great product, fast delivery!!",Positive,51,45-59
TXN10936,CUST1936,David Reddy,1985-11-12,Female,Germany,Sports,2024-01-17,4,382.49,1529.96,Credit Card,Bad experience,Negative,39,35-44
TXN10416,CUST1416,Noah Patel,2002-11-24,Female,India,Home & Kitchen,2024-10-08,3,209.11,627.33,Cash on Delivery,Bad experience,Negative,22,18-24
TXN10570,CUST1570,Yusuf Smith,1983-05-25,Male,India,Home & Kitchen,2024-10-20,4,54.53,218.12,Cash on Delivery,5 stars,Positive,41,35-44
TXN10856,CUST1856,Mia Khan,1995-04-27,Male,Unknown,Home & Kitchen,2024-10-27,3,303.92,911.76,PayPal,No feedback provided,No Feedback,29,25-34
TXN10466,CUST1466,David Lee,1973-07-14,Male,United Kingdom,Home & Kitchen,2024-05-18,3,289.17,867.51,UPI,No feedback provided,No Feedback,51,45-59
TXN10146,CUST1146,Priya Lee,2001-06-25,Male,United States,Clothing,2024-06-14,3,474.0,1422.0,UPI,"Excellent service, will buy again",Positive,23,18-24
TXN10928,CUST1928,Emma Chen,1981-07-16,Male,India,Electronics,2024-11-11,3,138.03,414.09,Credit Card,Delivery was late,Negative,43,35-44
TXN10244,CUST1244,Zara Nguyen,,Unknown,Germany,Books,2024-05-12,3,67.83,203.49,UPI,Delivery was late,Negative,43,35-44
TXN10853,CUST1853,Amit Garcia,1979-01-03,Female,United States,Electronics,2024-06-27,3,236.19,708.57,Cash on Delivery,No feedback provided,No Feedback,45,45-59
TXN10029,CUST1029,Sofia Garcia,1958-10-02,Male,Germany,Toys,2024-01-21,2,342.62,685.24,Cash on Delivery,ok,Neutral,66,60+
TXN10479,CUST1479,Sofia Garcia,1980-11-17,Female,United States,Electronics,2024-11-27,2,362.06,724.12,Cash on Delivery,Item damaged on arrival :(,Negative,44,35-44
TXN10028,CUST1028,Fatima Das,2004-06-29,Male,United States,Electronics,2024-02-08,5,22.83,114.15,PayPal,Item damaged on arrival :(,Negative,20,18-24
TXN10049,CUST1049,Emma Garcia,1997-06-26,Male,United States,Beauty,2024-12-24,3,88.06,264.18,Credit Card,value for money,Positive,27,25-34
TXN10834,CUST1834,Olivia Singh,1972-10-24,Female,Canada,Sports,2024-11-11,3,263.27,789.81,Cash on Delivery,"Great product, fast delivery!!",Positive,52,45-59
TXN10400,CUST1400,Ken Smith,1975-11-20,Female,United States,Beauty,2024-04-21,4,159.23,636.92,Cash on Delivery,packaging could be better,Neutral,49,45-59
TXN10156,CUST1156,Sara Ali,1988-06-24,Male,India,Toys,2024-03-14,5,257.02,1285.1,Credit Card,not happy with quality,Negative,36,35-44
TXN10124,CUST1124,Mia Reddy,1994-07-12,Unknown,India,Toys,2024-07-14,5,212.24,1061.2,UPI,Item damaged on arrival :(,Negative,30,25-34
TXN10031,CUST1031,Emma Silva,1969-04-13,Female,Germany,Electronics,2025-03-15,2,103.79,207.58,Cash on Delivery,average product,Neutral,55,45-59
TXN10654,CUST1654,Liam Singh,1977-07-05,Male,Germany,Books,2024-04-18,5,144.25,721.25,PayPal,"Excellent service, will buy again",Positive,47,45-59
TXN10707,CUST1707,Amit Smith,1992-10-30,Male,India,Toys,2024-04-08,2,479.58,959.16,Debit Card,value for money,Positive,32,25-34
TXN10607,CUST1607,Mia Singh,1971-09-20,Female,India,Electronics,2024-01-21,3,486.77,1460.31,Debit Card,5 stars,Positive,53,45-59
TXN10681,CUST1681,Grace Reddy,1971-12-19,Male,Germany,Clothing,2024-06-16,1,316.58,316.58,Debit Card,No feedback provided,No Feedback,53,45-59
TXN10256,CUST1256,Ananya Das,1978-10-10,Male,United States,Toys,2024-12-17,5,24.96,124.8,Cash on Delivery,Item damaged on arrival :(,Negative,46,45-59
TXN10620,CUST1620,Wei Rao,1990-01-08,Unknown,Canada,Books,2025-01-11,4,400.88,1603.52,UPI,average product,Neutral,34,25-34
TXN10062,CUST1062,Ken Das,1981-09-04,Female,India,Sports,2024-11-13,5,480.25,2401.25,UPI,Good,Positive,43,35-44
TXN10877,CUST1877,Sara Patel,2000-02-24,Female,Canada,Home & Kitchen,2025-03-12,2,160.98,321.96,Debit Card,No feedback provided,No Feedback,24,18-24
TXN10830,CUST1830,Zara Garcia,1974-02-24,Male,United States,Sports,2025-01-31,1,468.55,468.55,Cash on Delivery,5 stars,Positive,50,45-59
TXN10194,CUST1194,Grace Singh,1998-05-08,Male,United States,Sports,2024-10-09,1,13.28,13.28,PayPal,average product,Neutral,26,25-34
TXN10508,CUST1508,Sofia Patel,1988-03-09,Female,United Kingdom,Clothing,2025-04-18,1,71.02,71.02,Cash on Delivery,value for money,Positive,36,35-44
TXN10851,CUST1851,Sara Johnson,1986-02-10,Male,United Kingdom,Sports,2024-01-03,5,372.14,1860.7,UPI,"Great product, fast delivery!!",Positive,38,35-44
TXN10657,CUST1657,Grace Kumar,1955-05-21,Female,United States,Beauty,2024-10-11,4,271.38,1085.52,Credit Card,ok,Neutral,69,60+
TXN10052,CUST1052,Zara Lee,1993-11-22,Female,Germany,Beauty,2024-12-28,4,92.19,368.76,UPI,ok,Neutral,31,25-34
TXN10653,CUST1653,Sofia Chen,1995-07-12,Male,Germany,Beauty,2025-05-07,3,328.26,984.78,Credit Card,5 stars,Positive,29,25-34
TXN10329,CUST1329,Olivia Johnson,1965-05-09,Male,United Kingdom,Sports,2024-10-19,5,146.53,732.65,Credit Card,No feedback provided,No Feedback,59,45-59
TXN10890,CUST1890,Liam Garcia,1992-05-07,Female,India,Home & Kitchen,2024-02-13,5,463.92,2319.6,Debit Card,worst purchase ever,Negative,32,25-34
TXN10236,CUST1236,Mia Brown,1968-07-31,Unknown,Canada,Beauty,2025-03-16,1,448.81,448.81,Credit Card,worst purchase ever,Negative,56,45-59
TXN10738,CUST1738,Olivia Kim,1976-10-31,Unknown,Germany,Books,2024-12-24,1,220.27,220.27,Debit Card,No feedback provided,No Feedback,48,45-59
TXN10011,CUST1011,David Patel,2000-07-18,Unknown,Canada,Home & Kitchen,2025-03-06,5,103.46,517.3,Debit Card,ok,Neutral,24,18-24
TXN10962,CUST1962,Amit Sharma,2001-07-13,Male,United Kingdom,Clothing,2024-03-21,4,430.56,1722.24,Debit Card,No feedback provided,No Feedback,23,18-24
TXN10510,CUST1510,Carlos Garcia,1979-04-23,Female,India,Clothing,2025-04-25,5,347.38,1736.9,PayPal,"Excellent service, will buy again",Positive,45,45-59
TXN10693,CUST1693,Wei Johnson,1990-01-25,Female,Unknown,Electronics,2024-09-30,2,240.01,480.02,PayPal,average product,Neutral,34,25-34
TXN10248,CUST1248,Noah Kim,1992-05-05,Male,Germany,Electronics,2024-10-19,1,253.51,253.51,Debit Card,Bad experience,Negative,32,25-34
TXN10860,CUST1860,Sofia Johnson,1983-09-20,Unknown,United States,Toys,2024-09-09,1,495.18,495.18,Credit Card,packaging could be better,Neutral,41,35-44
TXN10093,CUST1093,Amit Brown,1956-11-30,Unknown,India,Clothing,2024-03-05,2,38.96,77.92,UPI,Good,Positive,68,60+
TXN10730,CUST1730,Sofia Das,,Male,Unknown,Electronics,2024-07-12,3,36.81,110.43,UPI,5 stars,Positive,43,35-44
TXN10104,CUST1104,John Singh,1978-12-29,Female,India,Books,2025-01-25,3,178.76,536.28,Debit Card,worst purchase ever,Negative,46,45-59
TXN10410,CUST1410,Noah Khan,2003-05-09,Female,United Kingdom,Books,2024-09-11,2,308.45,616.9,Cash on Delivery,No feedback provided,No Feedback,21,18-24
TXN10322,CUST1322,Olivia Brown,1995-12-06,Male,Germany,Electronics,2025-02-22,4,238.89,955.56,PayPal,No feedback provided,No Feedback,29,25-34
TXN10710,CUST1710,Grace Nguyen,1958-12-10,Female,India,Home & Kitchen,2025-01-27,4,491.64,1966.56,PayPal,value for money,Positive,66,60+
TXN10714,CUST1714,Wei Ali,1973-05-03,Female,Canada,Sports,2025-04-29,3,71.46,214.38,Credit Card,No feedback provided,No Feedback,51,45-59
TXN10557,CUST1557,Ananya Chen,1958-08-23,Male,United Kingdom,Electronics,2024-07-16,4,302.19,1208.76,PayPal,Bad experience,Negative,66,60+
TXN10827,CUST1827,Emma Chen,1955-09-18,Unknown,United States,Home & Kitchen,2024-07-11,5,202.64,1013.2,Cash on Delivery,packaging could be better,Neutral,69,60+
TXN10325,CUST1325,Sara Fernandes,1959-03-04,Male,Germany,Beauty,2024-08-22,5,71.64,358.2,PayPal,not happy with quality,Negative,65,60+
TXN10588,CUST1588,Noah Das,1997-12-01,Male,United States,Books,2024-10-30,3,103.34,310.02,Debit Card,worst purchase ever,Negative,27,25-34
TXN10533,CUST1533,Ken Silva,1988-03-01,Female,United Kingdom,Books,2024-01-18,3,78.23,234.69,Debit Card,No feedback provided,No Feedback,36,35-44
TXN10889,CUST1889,Rahul Fernandes,1990-10-22,Male,India,Sports,2024-06-08,5,220.73,1103.65,Debit Card,Good,Positive,34,25-34
TXN10438,CUST1438,Grace Singh,1978-12-10,Male,United Kingdom,Clothing,2024-11-01,2,345.25,690.5,PayPal,Item damaged on arrival :(,Negative,46,45-59
TXN10901,CUST1901,Mia Garcia,1996-12-23,Male,United States,Clothing,2024-07-02,5,109.34,546.7,PayPal,worst purchase ever,Negative,28,25-34
TXN10768,CUST1768,Amit Rao,2004-09-18,Unknown,Germany,Electronics,2025-05-07,5,466.56,2332.8,PayPal,No feedback provided,No Feedback,20,18-24
TXN10265,CUST1265,Emma Silva,2002-11-17,Unknown,Unknown,Sports,2025-03-09,3,467.93,1403.79,Debit Card,value for money,Positive,22,18-24
TXN10794,CUST1794,Olivia Silva,1966-12-27,Male,India,Home & Kitchen,2024-01-30,3,113.54,340.62,Debit Card,Loved it!,Positive,58,45-59
TXN10708,CUST1708,Priya Fernandes,2000-12-23,Unknown,India,Home & Kitchen,2024-10-14,5,107.52,537.6,Cash on Delivery,Delivery was late,Negative,24,18-24
TXN10092,CUST1092,Ken Das,1976-03-07,Male,Canada,Home & Kitchen,2024-10-05,1,202.08,202.08,Credit Card,packaging could be better,Neutral,48,45-59
TXN10630,CUST1630,Ananya Fernandes,1991-01-24,Unknown,India,Books,2025-01-15,3,8.91,26.73,PayPal,Item damaged on arrival :(,Negative,33,25-34
TXN10145,CUST1145,Noah Khan,1995-05-15,Female,United Kingdom,Home & Kitchen,2024-03-06,5,95.07,475.35,Cash on Delivery,No feedback provided,No Feedback,29,25-34
TXN10212,CUST1212,Sara Kim,1986-11-06,Female,United Kingdom,Electronics,2024-10-15,3,238.89,716.67,Credit Card,No feedback provided,No Feedback,38,35-44
TXN10782,CUST1782,Sofia Smith,1972-11-28,Unknown,United States,Beauty,2024-07-27,3,351.58,1054.74,UPI,No feedback provided,No Feedback,52,45-59
TXN10717,CUST1717,Wei Khan,1970-08-01,Male,Germany,Toys,2025-04-22,2,256.18,512.36,PayPal,average product,Neutral,54,45-59
TXN10921,CUST1921,Ken Rao,1987-12-02,Male,Germany,Books,2024-05-05,3,162.84,488.52,Credit Card,not happy with quality,Negative,37,35-44
TXN10580,CUST1580,Emma Lee,1999-11-18,Male,Canada,Toys,2024-10-24,3,250.74,752.22,Credit Card,No feedback provided,No Feedback,25,25-34
TXN10526,CUST1526,Liam Wilson,1992-12-10,Male,United States,Home & Kitchen,2024-06-25,4,253.22,1012.88,PayPal,ok,Neutral,32,25-34
TXN10313,CUST1313,Priya Lee,1970-09-03,Unknown,India,Home & Kitchen,2025-02-14,4,370.58,1482.32,Credit Card,"Great product, fast delivery!!",Positive,54,45-59
TXN10430,CUST1430,Ken Smith,1960-12-22,Female,India,Books,2025-03-12,1,14.44,14.44,Cash on Delivery,Bad experience,Negative,64,60+
TXN10473,CUST1473,Yusuf Johnson,2003-11-08,Female,Canada,Books,2024-02-09,4,236.70499999999998,946.82,Cash on Delivery,ok,Neutral,21,18-24
TXN10547,CUST1547,Olivia Reddy,1986-07-19,Male,United States,Sports,2024-05-24,4,208.94,835.76,Debit Card,Delivery was late,Negative,38,35-44
TXN10233,CUST1233,Fatima Sharma,1990-07-23,Female,Canada,Toys,2024-04-29,1,693.3787500000001,693.38,Debit Card,Bad experience,Negative,34,25-34
TXN10247,CUST1247,Emma Sharma,1997-04-28,Female,United States,Clothing,2025-04-21,5,402.54,2012.7,Cash on Delivery,Bad experience,Negative,27,25-34
TXN10087,CUST1087,David Silva,1969-10-05,Unknown,United Kingdom,Toys,2024-05-31,1,236.82,236.82,UPI,worst purchase ever,Negative,55,45-59
TXN10360,CUST1360,David Sharma,1968-03-05,Female,India,Clothing,2024-09-21,5,484.78,2423.9,UPI,"Excellent service, will buy again",Positive,56,45-59
TXN10359,CUST1359,Zara Kumar,1973-11-26,Female,Canada,Toys,2024-07-29,2,26.36,52.72,Debit Card,Item damaged on arrival :(,Negative,51,45-59
TXN10102,CUST1102,Sara Fernandes,1986-09-21,Unknown,Canada,Electronics,2025-05-10,5,159.66,798.3,PayPal,Good,Positive,38,35-44
TXN10195,CUST1195,John Wilson,1993-08-18,Male,United States,Sports,2024-03-17,2,311.79,623.58,Cash on Delivery,Loved it!,Positive,31,25-34
TXN10040,CUST1040,Sofia Kim,1970-10-12,Female,United States,Sports,2024-05-07,4,71.0,284.0,PayPal,No feedback provided,No Feedback,54,45-59
